cycle,range_bin,doppler_bin,output_hex
1098385000,0,0,0005fdb8
1098395000,0,1,ff5a02a0
1098405000,0,2,0021ff0d
1098415000,0,3,fffeffdf
1098425000,0,4,00a1fef3
1098435000,0,5,ff6c01ac
1098445000,0,6,ff85ff08
1098455000,0,7,0230022d
1098465000,0,8,fd7afca5
1098475000,0,9,00550282
1098485000,0,10,00dbfe37
1098495000,0,11,ffc20177
1098505000,0,12,ff1dfe28
1098515000,0,13,0086022e
1098525000,0,14,0006fd62
1098535000,0,15,004601b0
1098545000,0,16,0245002a
1098555000,0,17,fb84ff76
1098565000,0,18,025b002f
1098575000,0,19,ff9c005b
1098585000,0,20,ff4fff81
1098595000,0,21,fefc00c0
1098605000,0,22,01bdfee8
1098615000,0,23,ff8e01e1
1098625000,0,24,00c0fe31
1098635000,0,25,009d0024
1098645000,0,26,fe1501c1
1098655000,0,27,0134ff53
1098665000,0,28,0077fff4
1098675000,0,29,ff7aff9a
1098685000,0,30,ff7400a2
1098695000,0,31,0104ffde
1103765000,1,0,00ca016d
1103775000,1,1,ff25ff70
1103785000,1,2,002c004d
1103795000,1,3,ffccff91
1103805000,1,4,013900bd
1103815000,1,5,fed5ffb4
1103825000,1,6,004f0095
1103835000,1,7,ffcd0084
1103845000,1,8,006aff27
1103855000,1,9,ffbaffb0
1103865000,1,10,0052002b
1103875000,1,11,0146016b
1103885000,1,12,fca5fcf0
1103895000,1,13,031b023d
1103905000,1,14,ff43ff54
1103915000,1,15,fffc00df
1103925000,1,16,0074fec1
1103935000,1,17,ff1f005c
1103945000,1,18,00100019
1103955000,1,19,ffc20055
1103965000,1,20,008dfe1d
1103975000,1,21,fe710300
1103985000,1,22,0213fe31
1103995000,1,23,ff1b0064
1104005000,1,24,0090ff53
1104015000,1,25,001e019c
1104025000,1,26,ff2afe2b
1104035000,1,27,0004013b
1104045000,1,28,00cdffa6
1104055000,1,29,ff43fff7
1104065000,1,30,00e30092
1104075000,1,31,fed4fe2d
1109145000,2,0,ffeeff37
1109155000,2,1,001700d0
1109165000,2,2,00c1ff66
1109175000,2,3,fea0012e
1109185000,2,4,0177feaf
1109195000,2,5,fee501f9
1109205000,2,6,016dfe73
1109215000,2,7,fe3d019e
1109225000,2,8,0168fe16
1109235000,2,9,ff6c0108
1109245000,2,10,00ffff69
1109255000,2,11,fed8ffbb
1109265000,2,12,0040ff97
1109275000,2,13,006200e7
1109285000,2,14,00cdff5a
1109295000,2,15,fdb00017
1109305000,2,16,01f20169
1109315000,2,17,ff07fe0e
1109325000,2,18,ffdd0086
